#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revC/RNGDumpAll.bin|  1.74e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
          sts_serial|  15|    100000|     100|0.73476654|  PASSED  
          sts_serial|  15|    100000|     100|0.77236396|  PASSED  
          sts_serial|  16|    100000|     100|0.25778099|  PASSED  
          sts_serial|  16|    100000|     100|0.23066005|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.11401843|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.47653940|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.86657137|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.07714094|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.92968382|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.33142028|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.98443122|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.47785753|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.54385014|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.78300468|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.59406627|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.27846026|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.58197408|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.21994131|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.21912269|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.60613259|  PASSED  
    rgb_permutations|   2|    100000|     100|0.58900213|  PASSED  
    rgb_permutations|   3|    100000|     100|0.41123098|  PASSED  
    rgb_permutations|   4|    100000|     100|0.10678136|  PASSED  
    rgb_permutations|   5|    100000|     100|0.98899385|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.31680425|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.60385297|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.69111241|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.69881457|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.83047203|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.46996779|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.73211543|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.51987505|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.19824305|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.95018331|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.67766794|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.67344239|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.43327818|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.99915034|   WEAK   
      rgb_lagged_sum|  14|   1000000|     100|0.93457925|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.90588851|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.87721501|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.64122792|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.28591019|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.15185866|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.99029285|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.74660091|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.95864806|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.27648694|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.99999732|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.93716543|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.71390394|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.97574683|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.40256968|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.76602843|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.65621047|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.07744401|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.76564291|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.13506581|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.69904950|  PASSED  
             dab_dct| 256|     50000|       1|0.67297116|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.37076072|  PASSED  
        dab_filltree|  32|  15000000|       1|0.19754568|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.03634403|  PASSED  
