#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.20e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   4|   1000000|     100|0.25463740|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.99978646|   WEAK   
      rgb_lagged_sum|   6|   1000000|     100|0.21523711|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.24343029|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.87368604|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.61119665|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.62710119|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.12624271|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.56467202|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.45121754|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.81802450|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.55486017|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.96145872|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.35070086|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.87366522|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.99316018|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.73550573|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.60303368|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.53116457|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.54240108|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.83257163|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.42684371|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.60387821|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.78220324|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.58084894|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.42138205|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.07169311|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.93382141|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.36374255|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.08325791|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.41350597|  PASSED  
             dab_dct| 256|     50000|       1|0.18922893|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.72310837|  PASSED  
        dab_filltree|  32|  15000000|       1|0.47095571|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.48689645|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.42704222|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.60354792|  PASSED  
#=============================================================================#
